y,x,street_count,highway,junction,ref,geometry
11.150948,106.5984014,3,,,,POINT (106.5984014 11.150948)
11.1517339,106.5984939,3,,,,POINT (106.5984939 11.1517339)
11.1513883,106.5989711,3,,,,POINT (106.5989711 11.1513883)
11.1523124,106.6005655,3,,,,POINT (106.6005655 11.1523124)
11.1421596,106.576243,3,,,,POINT (106.576243 11.1421596)
11.1359582,106.5486169,3,,,,POINT (106.5486169 11.1359582)
11.1288532,106.5238682,4,,,,POINT (106.5238682 11.1288532)
11.1484309,106.4962736,3,,,,POINT (106.4962736 11.1484309)
11.1467861,106.499527,3,,,,POINT (106.499527 11.1467861)
11.0746146,106.5642419,3,,,,POINT (106.5642419 11.0746146)
11.0928363,106.5399205,3,,,,POINT (106.5399205 11.0928363)
11.1101901,106.5278497,1,,,,POINT (106.5278497 11.1101901)
11.0721075,106.5734513,3,,,,POINT (106.5734513 11.0721075)
11.0760574,106.5671463,4,,,,POINT (106.5671463 11.0760574)
11.0767979,106.5659452,3,,,,POINT (106.5659452 11.0767979)
11.070215,106.5721412,3,,,,POINT (106.5721412 11.070215)
11.114429,106.7534474,4,,,,POINT (106.7534474 11.114429)
11.1176728,106.757569,3,,,,POINT (106.757569 11.1176728)
11.1299473,106.7742584,3,,,,POINT (106.7742584 11.1299473)
11.1395433,106.7870616,3,,,,POINT (106.7870616 11.1395433)
11.150085,106.8438502,4,,,,POINT (106.8438502 11.150085)
11.121509,106.7629298,3,,,,POINT (106.7629298 11.121509)
11.2122301,106.7518282,1,,,,POINT (106.7518282 11.2122301)
11.2670103,106.7718179,4,,,,POINT (106.7718179 11.2670103)
11.2875821,106.7924168,3,,,,POINT (106.7924168 11.2875821)
11.3208193,106.8228864,3,,,,POINT (106.8228864 11.3208193)
11.1259296,106.7689296,3,,,,POINT (106.7689296 11.1259296)
11.2907405,106.7914261,3,,,,POINT (106.7914261 11.2907405)
11.2957205,106.788103,4,,,,POINT (106.788103 11.2957205)
11.300603,106.7615411,3,,,,POINT (106.7615411 11.300603)
11.3008514,106.7849801,3,,,,POINT (106.7849801 11.3008514)
11.303967,106.780536,4,,,,POINT (106.780536 11.303967)
11.3041165,106.7816767,3,,,,POINT (106.7816767 11.3041165)
11.3101791,106.780213,3,,,,POINT (106.780213 11.3101791)
11.3502229,106.7636635,3,,,,POINT (106.7636635 11.3502229)
11.3622377,106.773564,4,,,,POINT (106.773564 11.3622377)
11.4010489,106.7889951,1,,,,POINT (106.7889951 11.4010489)
11.2900089,106.8139875,3,,,,POINT (106.8139875 11.2900089)
11.2897535,106.7953601,3,,,,POINT (106.7953601 11.2897535)
11.2987914,106.8037439,3,,,,POINT (106.8037439 11.2987914)
11.2898799,106.8006458,4,,,,POINT (106.8006458 11.2898799)
11.312395,106.8120766,3,,,,POINT (106.8120766 11.312395)
11.1411739,106.6037793,4,,,,POINT (106.6037793 11.1411739)
11.1411445,106.6036634,3,,,,POINT (106.6036634 11.1411445)
11.1319414,106.6072018,4,,,,POINT (106.6072018 11.1319414)
11.1188008,106.6044667,3,,,,POINT (106.6044667 11.1188008)
11.1302276,106.6031205,4,,,,POINT (106.6031205 11.1302276)
11.1179586,106.5967318,4,,,,POINT (106.5967318 11.1179586)
11.1264188,106.6152659,3,,,,POINT (106.6152659 11.1264188)
11.4460568,106.4840281,4,,,,POINT (106.4840281 11.4460568)
11.1118187,106.6181568,4,,,,POINT (106.6181568 11.1118187)
11.1293622,106.5954855,4,,,,POINT (106.5954855 11.1293622)
11.1331711,106.5950637,4,,,,POINT (106.5950637 11.1331711)
11.1391233,106.5943568,1,,,,POINT (106.5943568 11.1391233)
11.1173264,106.5910752,4,,,,POINT (106.5910752 11.1173264)
11.2351683,106.735182,4,,,,POINT (106.735182 11.2351683)
11.2302498,106.5624695,3,,,,POINT (106.5624695 11.2302498)
11.240653,106.5652558,3,,,,POINT (106.5652558 11.240653)
11.2691679,106.5524059,3,,,,POINT (106.5524059 11.2691679)
11.1878431,106.5923279,3,,,,POINT (106.5923279 11.1878431)
11.3005007,106.5117436,3,,,,POINT (106.5117436 11.3005007)
11.2247302,106.5794728,1,,,,POINT (106.5794728 11.2247302)
11.1886229,106.5716528,3,,,,POINT (106.5716528 11.1886229)
11.1793858,106.6155155,3,,,,POINT (106.6155155 11.1793858)
11.2613076,106.6047676,3,,,,POINT (106.6047676 11.2613076)
11.1039208,106.6234813,3,,,,POINT (106.6234813 11.1039208)
11.2550896,106.51493,3,,,,POINT (106.51493 11.2550896)
11.2817353,106.5843549,4,,,,POINT (106.5843549 11.2817353)
11.2621391,106.6046096,3,,,,POINT (106.6046096 11.2621391)
11.2825451,106.5885893,4,,,,POINT (106.5885893 11.2825451)
11.2852966,106.6030721,3,,,,POINT (106.6030721 11.2852966)
11.2485359,106.6069582,3,,,,POINT (106.6069582 11.2485359)
11.2482099,106.607023,3,,,,POINT (106.607023 11.2482099)
11.2920864,106.5987539,1,,,,POINT (106.5987539 11.2920864)
11.2724046,106.6347392,4,,,,POINT (106.6347392 11.2724046)
11.2724652,106.6350232,3,,,,POINT (106.6350232 11.2724652)
11.3441856,106.6396977,4,,,,POINT (106.6396977 11.3441856)
11.2932799,106.5373693,4,,,,POINT (106.5373693 11.2932799)
11.2718094,106.636648,3,,,,POINT (106.636648 11.2718094)
11.2732483,106.6367606,3,,,,POINT (106.6367606 11.2732483)
11.3424417,106.5864737,4,,,,POINT (106.5864737 11.3424417)
11.3277593,106.6756473,4,,,,POINT (106.6756473 11.3277593)
11.3254857,106.4768544,3,,,,POINT (106.4768544 11.3254857)
11.3779819,106.5162271,3,,,,POINT (106.5162271 11.3779819)
11.1454219,106.6699863,3,,,,POINT (106.6699863 11.1454219)
11.1468317,106.632568,3,,,,POINT (106.632568 11.1468317)
11.1542409,106.6112708,3,,,,POINT (106.6112708 11.1542409)
11.154513,106.6069662,3,,,,POINT (106.6069662 11.154513)
11.1681369,106.6514034,3,,,,POINT (106.6514034 11.1681369)
11.0879962,106.6663196,4,,,,POINT (106.6663196 11.0879962)
11.0926177,106.7023003,3,,,,POINT (106.7023003 11.0926177)
11.126237,106.710351,3,,,,POINT (106.710351 11.126237)
11.15871,106.716538,3,,,,POINT (106.716538 11.15871)
11.184714,106.7233932,3,,,,POINT (106.7233932 11.184714)
11.1850536,106.7232736,3,,,,POINT (106.7232736 11.1850536)
11.1851424,106.7264976,3,,,,POINT (106.7264976 11.1851424)
11.2350965,106.735249,3,,,,POINT (106.735249 11.2350965)
11.096962,106.7011968,4,,,,POINT (106.7011968 11.096962)
11.1008027,106.6372947,4,,,,POINT (106.6372947 11.1008027)
11.1008723,106.6300697,4,,,,POINT (106.6300697 11.1008723)
11.1029194,106.6946782,3,,,,POINT (106.6946782 11.1029194)
11.1046032,106.6373554,4,,,,POINT (106.6373554 11.1046032)
11.1046644,106.6301148,4,,,,POINT (106.6301148 11.1046644)
11.1099805,106.6417863,3,,,,POINT (106.6417863 11.1099805)
11.1135721,106.7012374,3,,,,POINT (106.7012374 11.1135721)
11.113679,106.7015603,3,,,,POINT (106.7015603 11.113679)
11.1141218,106.6302085,3,,,,POINT (106.6302085 11.1141218)
11.11419,106.7011903,3,,,,POINT (106.7011903 11.11419)
11.1144759,106.6374482,3,,,,POINT (106.6374482 11.1144759)
11.1142113,106.701321,3,,,,POINT (106.701321 11.1142113)
11.1143449,106.6305563,3,,,,POINT (106.6305563 11.1143449)
11.1144754,106.6298555,3,,,,POINT (106.6298555 11.1144754)
11.1145895,106.6305647,3,,,,POINT (106.6305647 11.1145895)
11.1207941,106.6418857,3,,,,POINT (106.6418857 11.1207941)
11.1260244,106.7012372,3,,,,POINT (106.7012372 11.1260244)
11.1298317,106.6420872,3,,,,POINT (106.6420872 11.1298317)
11.1345386,106.6145772,4,,,,POINT (106.6145772 11.1345386)
11.136068,106.6420532,3,,,,POINT (106.6420532 11.136068)
11.1378706,106.6127798,3,,,,POINT (106.6127798 11.1378706)
11.13839,106.6130205,3,,,,POINT (106.6130205 11.13839)
11.1384023,106.6121985,3,,,,POINT (106.6121985 11.1384023)
11.1386945,106.6125271,3,,,,POINT (106.6125271 11.1386945)
11.138687,106.6126464,3,,,,POINT (106.6126464 11.138687)
11.1396973,106.6631896,1,,,,POINT (106.6631896 11.1396973)
11.139944,106.6420737,5,,,,POINT (106.6420737 11.139944)
11.1399028,106.6419349,4,,,,POINT (106.6419349 11.1399028)
11.1400127,106.6419373,4,,,,POINT (106.6419373 11.1400127)
11.3327834,106.7471078,3,,,,POINT (106.7471078 11.3327834)
11.351737,106.7265273,3,,,,POINT (106.7265273 11.351737)
11.3785231,106.7276848,3,,,,POINT (106.7276848 11.3785231)
11.402237,106.7322393,3,,,,POINT (106.7322393 11.402237)
11.0957705,106.6995466,3,,,,POINT (106.6995466 11.0957705)
11.1135754,106.7013937,3,,,,POINT (106.7013937 11.1135754)
11.1139839,106.7009937,3,,,,POINT (106.7009937 11.1139839)
11.1143304,106.6298883,3,,,,POINT (106.6298883 11.1143304)
11.1186828,106.6418641,3,,,,POINT (106.6418641 11.1186828)
11.1277454,106.7236184,3,,,,POINT (106.7236184 11.1277454)
11.1331569,106.6420058,3,,,,POINT (106.6420058 11.1331569)
11.1381939,106.6130302,3,,,,POINT (106.6130302 11.1381939)
11.1453475,106.6119854,3,,,,POINT (106.6119854 11.1453475)
11.1467129,106.6118639,3,,,,POINT (106.6118639 11.1467129)
11.1557516,106.5923496,6,,,,POINT (106.5923496 11.1557516)
11.1558442,106.5924427,3,,,,POINT (106.5924427 11.1558442)
11.1561052,106.5923264,3,,,,POINT (106.5923264 11.1561052)
11.159153,106.5943015,3,,,,POINT (106.5943015 11.159153)
11.1739135,106.6418769,4,,,,POINT (106.6418769 11.1739135)
11.1395899,106.6087425,4,,,,POINT (106.6087425 11.1395899)
11.145595,106.6119573,3,,,,POINT (106.6119573 11.145595)
11.1474277,106.6118126,3,,,,POINT (106.6118126 11.1474277)
11.1501723,106.6115651,3,,,,POINT (106.6115651 11.1501723)
11.1519742,106.607771,1,,,,POINT (106.607771 11.1519742)
11.113955,106.5939811,2,,,,POINT (106.5939811 11.113955)
11.1140482,106.5945556,2,,,,POINT (106.5945556 11.1140482)
11.1147535,106.6010828,4,,,,POINT (106.6010828 11.1147535)
11.1165107,106.6046104,1,,,,POINT (106.6046104 11.1165107)
11.1190152,106.6056105,3,,,,POINT (106.6056105 11.1190152)
11.1191927,106.6066379,3,,,,POINT (106.6066379 11.1191927)
11.1361353,106.6342433,1,,,,POINT (106.6342433 11.1361353)
11.3549786,106.6890075,3,,,,POINT (106.6890075 11.3549786)
11.1554667,106.5919569,4,,,,POINT (106.5919569 11.1554667)
11.1556032,106.5920053,3,,,,POINT (106.5920053 11.1556032)
11.1556955,106.5925688,3,,,,POINT (106.5925688 11.1556955)
11.1554584,106.5926094,3,,,,POINT (106.5926094 11.1554584)
11.1379647,106.6123052,3,,,,POINT (106.6123052 11.1379647)
11.1320607,106.6072953,4,,,,POINT (106.6072953 11.1320607)
11.1320015,106.6073722,4,,,,POINT (106.6073722 11.1320015)
11.1359058,106.6106153,4,,,,POINT (106.6106153 11.1359058)
11.1379064,106.6123811,3,,,,POINT (106.6123811 11.1379064)
11.1359595,106.6105507,4,,,,POINT (106.6105507 11.1359595)
11.1250475,106.6153207,3,,,,POINT (106.6153207 11.1250475)
11.1264142,106.6153613,4,,,,POINT (106.6153613 11.1264142)
11.1345476,106.6146749,4,,,,POINT (106.6146749 11.1345476)
11.1379385,106.612878,3,,,,POINT (106.612878 11.1379385)
11.154214,106.6113716,3,,,,POINT (106.6113716 11.154214)
11.1455904,106.6120321,3,,,,POINT (106.6120321 11.1455904)
11.1453521,106.6120507,3,,,,POINT (106.6120507 11.1453521)
11.131888,106.6072697,4,,,,POINT (106.6072697 11.131888)
11.1847025,106.7233379,3,,,,POINT (106.7233379 11.1847025)
11.1103576,106.5975634,1,,,,POINT (106.5975634 11.1103576)
11.1143305,106.5971475,4,,,,POINT (106.5971475 11.1143305)
11.1205985,106.6077716,3,,,,POINT (106.6077716 11.1205985)
11.1125726,106.5910614,1,,,,POINT (106.5910614 11.1125726)
11.1249746,106.6154006,3,,,,POINT (106.6154006 11.1249746)
11.1304986,106.6060918,3,,,,POINT (106.6060918 11.1304986)
11.1327962,106.5919111,1,,,,POINT (106.5919111 11.1327962)
11.1305262,106.6059785,3,,,,POINT (106.6059785 11.1305262)
11.1039152,106.5960718,2,,,,POINT (106.5960718 11.1039152)
11.1121008,106.619879,4,,,,POINT (106.619879 11.1121008)
11.1076236,106.6066748,4,,,,POINT (106.6066748 11.1076236)
11.1091013,106.6103826,1,,,,POINT (106.6103826 11.1091013)
11.1075212,106.6067147,4,,,,POINT (106.6067147 11.1075212)
11.111711,106.6181982,4,,,,POINT (106.6181982 11.111711)
11.1115976,106.6182457,3,,,,POINT (106.6182457 11.1115976)
11.3443941,106.8241771,4,,,,POINT (106.8241771 11.3443941)
11.2881908,106.7931008,3,,,,POINT (106.7931008 11.2881908)
11.2882828,106.7930536,4,,,,POINT (106.7930536 11.2882828)
11.2897184,106.7948057,3,,,,POINT (106.7948057 11.2897184)
11.2899072,106.7949005,3,,,,POINT (106.7949005 11.2899072)
11.2900113,106.7951345,5,,,,POINT (106.7951345 11.2900113)
11.2900392,106.7950484,4,,,,POINT (106.7950484 11.2900392)
11.2900886,106.7951037,4,,,,POINT (106.7951037 11.2900886)
11.290227,106.7949165,3,,,,POINT (106.7949165 11.290227)
11.2902276,106.7952593,3,,,,POINT (106.7952593 11.2902276)
11.2902496,106.7949929,3,,,,POINT (106.7949929 11.2902496)
11.2916004,106.8006568,3,,,,POINT (106.8006568 11.2916004)
11.2923189,106.7974041,4,,,,POINT (106.7974041 11.2923189)
11.292337,106.7973204,4,,,,POINT (106.7973204 11.292337)
11.292644,106.7943977,4,,,,POINT (106.7943977 11.292644)
11.2926769,106.7944742,4,,,,POINT (106.7944742 11.2926769)
11.2935953,106.7865023,3,,,,POINT (106.7865023 11.2935953)
11.2951359,106.7946853,3,,,,POINT (106.7946853 11.2951359)
11.2951436,106.7946039,3,,,,POINT (106.7946039 11.2951436)
11.2989621,106.803027,4,,,,POINT (106.803027 11.2989621)
11.1513197,106.5933233,3,,,,POINT (106.5933233 11.1513197)
11.1514102,106.5933655,3,,,,POINT (106.5933655 11.1514102)
11.152355,106.5918699,3,,,,POINT (106.5918699 11.152355)
11.1523707,106.6005274,3,,,,POINT (106.6005274 11.1523707)
11.1530287,106.5905365,3,,,,POINT (106.5905365 11.1530287)
11.1530952,106.5905763,3,,,,POINT (106.5905763 11.1530952)
11.1630669,106.5791592,2,,,,POINT (106.5791592 11.1630669)
11.1317578,106.5340108,3,,,,POINT (106.5340108 11.1317578)
11.1340836,106.5421098,3,,,,POINT (106.5421098 11.1340836)
11.1341991,106.5420771,3,,,,POINT (106.5420771 11.1341991)
11.1360722,106.5485709,3,,,,POINT (106.5485709 11.1360722)
11.2669523,106.7718805,3,,,,POINT (106.7718805 11.2669523)
11.2843461,106.7904728,3,,,,POINT (106.7904728 11.2843461)
11.1588522,106.6826282,1,,,,POINT (106.6826282 11.1588522)
11.1391889,106.7094396,1,,,,POINT (106.7094396 11.1391889)
11.1391883,106.7043858,4,,,,POINT (106.7043858 11.1391883)
11.2778071,106.4324568,1,,,,POINT (106.4324568 11.2778071)
11.4271752,106.507269,3,,,,POINT (106.507269 11.4271752)
11.1099855,106.6420156,3,,,,POINT (106.6420156 11.1099855)
11.1186914,106.6417223,3,,,,POINT (106.6417223 11.1186914)
11.114376,106.6416792,3,,,,POINT (106.6416792 11.114376)
11.1099825,106.641646,3,,,,POINT (106.641646 11.1099825)
11.1237788,106.641777,3,,,,POINT (106.641777 11.1237788)
11.1278432,106.642193,3,,,,POINT (106.642193 11.1278432)
11.1143724,106.6420424,3,,,,POINT (106.6420424 11.1143724)
11.1360729,106.6418932,3,,,,POINT (106.6418932 11.1360729)
11.1298329,106.6422134,3,,,,POINT (106.6422134 11.1298329)
11.1278478,106.6418128,4,,,,POINT (106.6418128 11.1278478)
11.1331552,106.6418646,3,,,,POINT (106.6418646 11.1331552)
11.1298396,106.6418322,3,,,,POINT (106.6418322 11.1298396)
11.1331509,106.6422474,3,,,,POINT (106.6422474 11.1331509)
11.1399442,106.642294,4,,,,POINT (106.642294 11.1399442)
11.1186876,106.6420855,3,,,,POINT (106.6420855 11.1186876)
11.2032715,106.7215092,4,,,,POINT (106.7215092 11.2032715)
11.3123369,106.8121504,3,,,,POINT (106.8121504 11.3123369)
11.3024229,106.8054199,3,,,,POINT (106.8054199 11.3024229)
11.3024078,106.8054914,3,,,,POINT (106.8054914 11.3024078)
11.2990303,106.8029385,3,,,,POINT (106.8029385 11.2990303)
11.297939,106.8021389,3,,,,POINT (106.8021389 11.297939)
11.2980109,106.8020628,3,,,,POINT (106.8020628 11.2980109)
11.2944363,106.7989397,4,,,,POINT (106.7989397 11.2944363)
11.2944233,106.7990237,4,,,,POINT (106.7990237 11.2944233)
11.2930322,106.8013397,4,,,,POINT (106.8013397 11.2930322)
11.320807,106.8229803,4,,,,POINT (106.8229803 11.320807)
11.1638522,106.6894395,1,,,,POINT (106.6894395 11.1638522)
11.1588063,106.6894602,4,,,,POINT (106.6894602 11.1588063)
11.1078417,106.534609,3,,,,POINT (106.534609 11.1078417)
11.0606819,106.5918858,3,,,,POINT (106.5918858 11.0606819)
11.1296162,106.449246,3,,,,POINT (106.449246 11.1296162)
11.1330342,106.4777952,3,,,,POINT (106.4777952 11.1330342)
11.1395875,106.4730253,3,,,,POINT (106.4730253 11.1395875)
11.3017974,106.4559855,3,,,,POINT (106.4559855 11.3017974)
11.3212913,106.4807138,3,,,,POINT (106.4807138 11.3212913)
11.3170968,106.47737,1,,,,POINT (106.47737 11.3170968)
11.3171774,106.4869108,3,,,,POINT (106.4869108 11.3171774)
11.3146068,106.4849927,1,,,,POINT (106.4849927 11.3146068)
11.3163003,106.4884338,3,,,,POINT (106.4884338 11.3163003)
11.3104576,106.4832817,1,,,,POINT (106.4832817 11.3104576)
11.3136268,106.4923264,3,,,,POINT (106.4923264 11.3136268)
11.3024324,106.4780842,1,,,,POINT (106.4780842 11.3024324)
11.3111146,106.4961321,3,,,,POINT (106.4961321 11.3111146)
11.3035877,106.5076669,3,,,,POINT (106.5076669 11.3035877)
11.2995085,106.4983252,3,,,,POINT (106.4983252 11.2995085)
11.2882214,106.4629578,1,,,,POINT (106.4629578 11.2882214)
11.2834079,106.4642315,3,,,,POINT (106.4642315 11.2834079)
11.2799383,106.4615262,3,,,,POINT (106.4615262 11.2799383)
11.2716299,106.4820491,1,,,,POINT (106.4820491 11.2716299)
11.2666008,106.4680984,3,,,,POINT (106.4680984 11.2666008)
11.2510875,106.4800883,3,,,,POINT (106.4800883 11.2510875)
11.2760383,106.5075102,4,,,,POINT (106.5075102 11.2760383)
11.2468765,106.4796322,4,,,,POINT (106.4796322 11.2468765)
11.1799288,106.4225132,3,,,,POINT (106.4225132 11.1799288)
11.1941186,106.4079056,4,,,,POINT (106.4079056 11.1941186)
11.2101282,106.4121008,3,,,,POINT (106.4121008 11.2101282)
11.2064556,106.3986372,3,,,,POINT (106.3986372 11.2064556)
11.2115688,106.4174147,1,,,,POINT (106.4174147 11.2115688)
11.2134753,106.3967892,4,,,,POINT (106.3967892 11.2134753)
11.3734747,106.8307767,3,,,,POINT (106.8307767 11.3734747)
11.360896,106.8323301,3,,,,POINT (106.8323301 11.360896)
11.3603924,106.8145155,3,,,,POINT (106.8145155 11.3603924)
11.3401706,106.7998722,1,,,,POINT (106.7998722 11.3401706)
11.3269247,106.8212942,3,,,,POINT (106.8212942 11.3269247)
11.2746441,106.784294,4,,,,POINT (106.784294 11.2746441)
11.2712348,106.7780727,4,,,,POINT (106.7780727 11.2712348)
11.2631031,106.7821463,1,,,,POINT (106.7821463 11.2631031)
11.2285919,106.7303619,3,,,,POINT (106.7303619 11.2285919)
11.2142646,106.7202598,3,,,,POINT (106.7202598 11.2142646)
11.2606142,106.7325851,3,,,,POINT (106.7325851 11.2606142)
11.1614677,106.6728475,3,,,,POINT (106.6728475 11.1614677)
11.3290729,106.6474481,1,,,,POINT (106.6474481 11.3290729)
11.3108432,106.6540171,3,,,,POINT (106.6540171 11.3108432)
11.1166288,106.6417017,3,,,,POINT (106.6417017 11.1166288)
